"Construction cost (or producer prices), new residential buildings - annual data [sts_copi_a]",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Last update,30.09.22,,,,,,,,,,,,,,,,,,,,,,,,,
Extracted on,18.10.22,,,,,,,,,,,,,,,,,,,,,,,,,
Source of data,Eurostat,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIC_BT,Construction cost index - in national currency,,,,,,,,,,,,,,,,,,,,,,,,,
NACE_R2,"Residential buildings, except residences for communities",,,,,,,,,,,,,,,,,,,,,,,,,
S_ADJ,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),,,,,,,,,,,,,,,,,,,,,,,,,
UNIT,Percentage change compared to same period in previous year,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1: Annual growth rates, construction cost indices for new residential buildings, 2005 - 2021,",,,,,,,,,,,,,,,,,,,,,,,,,,
 unadjusted data,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,2008-2009,Average annual rates,,2011-2016,Average annual rates,,2017 2018,Average annual rates
EU,2.8,3.7,4.4,4.1,0.4,1.9,3.3,1.9,0.7,0.6,0.8,0.8,2.3,2.8,1.8,1.0,6.5,,104.5,2.23,,108.3,1.62,,107.1,2.30
EA-19,2.8,3.4,4.0,4.0,0.4,1.9,3.3,1.8,0.6,0.5,0.7,0.7,2.2,2.5,1.5,1.0,6.4,,104.4,2.18,,107.8,1.52,,106.3,2.07
Belgium,2.9,4.8,4.5,2.4,-1.1,0.0,3.9,1.9,0.2,1.1,1.6,1.6,1.3,2.5,2.5,1.7,:,,101.3,0.63,,110.7,2.06,,106.4,2.10
